#Time Ao_1 VAD_1 Ao_2 VAD_2 Ao_3 VAD_3 Ao_4 VAD_4 Ao_5 VAD_5 Ao_6 VAD_6 Ao_7 VAD_7 Ao_8 VAD_8 Ao_9 VAD_9 Ao_10 VAD_10 Ao_11 VAD_11 Ao_12 VAD_12 Ao_13 VAD_13 Ao_14 VAD_14 Ao_15 VAD_15 Ao_16 VAD_16 Ao_17 VAD_17 Ao_18 VAD_18 Ao_19 VAD_19 Ao_20 VAD_20
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0043 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0
0.0086 7.814 0.0 7.7679 0.0 7.7537 0.0 7.7826 0.0 7.62 0.0 7.8142 0.0 7.7774 0.0 7.8176 0.0 7.6931 0.0 7.655 0.0 7.7883 0.0 7.8092 0.0 7.8481 0.0 7.6814 0.0 7.6515 0.0 7.8394 0.0 7.7508 0.0 7.7472 0.0 7.7964 0.0 7.6233 0.0
0.0129 10.5602 0.0 10.6473 0.0 10.5964 0.0 10.6419 0.0 10.6338 0.0 10.5577 0.0 10.6465 0.0 10.6097 0.0 10.5448 0.0 10.6572 0.0 10.565 0.0 10.6295 0.0 10.5805 0.0 10.6018 0.0 10.6869 0.0 10.5619 0.0 10.6312 0.0 10.58 0.0 10.6687 0.0 10.6441 0.0
0.0171 12.4639 0.0 12.6038 0.0 12.5408 0.0 12.6056 0.0 12.8385 0.0 12.4572 0.0 12.621 0.0 12.4885 0.0 12.6679 0.0 12.7794 0.0 12.503 0.0 12.5272 0.0 12.4754 0.0 12.7074 0.0 12.7989 0.0 12.4464 0.0 12.6364 0.0 12.6213 0.0 12.5919 0.0 12.823 0.0
0.0214 14.2282 0.0 14.3404 0.0 14.3847 0.0 14.3294 0.0 14.5607 0.0 14.29 0.0 14.3115 0.0 14.2211 0.0 14.4928 0.0 14.5512 0.0 14.2602 0.0 14.2705 0.0 14.2425 0.0 14.4866 0.0 14.5679 0.0 14.2444 0.0 14.3884 0.0 14.4163 0.0 14.3142 0.0 14.5752 0.0
0.0257 16.048 0.0 16.1175 0.0 16.1818 0.0 16.073 0.0 16.2855 0.0 16.131 0.0 16.0491 0.0 16.0752 0.0 16.297 0.0 16.2976 0.0 16.151 0.0 16.024 0.0 16.0395 0.0 16.2357 0.0 16.2909 0.0 16.0783 0.0 16.1425 0.0 16.2199 0.0 16.0631 0.0 16.3495 0.0
0.03 17.3447 0.0 17.4955 0.0 17.4628 0.0 17.5055 0.0 17.8325 0.0 17.2909 0.0 17.5275 0.0 17.3545 0.0 17.7 0.0 17.7601 0.0 17.3703 0.0 17.4017 0.0 17.2666 0.0 17.7292 0.0 17.7631 0.0 17.2338 0.0 17.6118 0.0 17.5489 0.0 17.4422 0.0 17.8221 0.0
0.0343 17.262 0.0 17.8547 0.0 17.4879 0.0 17.7849 0.0 18.3297 0.0 17.0481 0.0 17.7849 0.0 17.4498 0.0 18.1107 0.0 18.2309 0.0 17.3721 0.0 17.7196 0.0 17.1522 0.0 18.1201 0.0 18.2146 0.0 16.9205 0.0 17.9308 0.0 17.7587 0.0 17.7863 0.0 18.3061 0.0
0.0386 15.3478 0.0 15.9921 0.0 15.7282 0.0 16.0603 0.0 17.518 0.0 14.7864 0.0 16.1211 0.0 15.7965 0.0 16.567 0.0 17.3031 0.0 15.5304 0.0 15.7379 0.0 15.1029 0.0 16.7573 0.0 17.3505 0.0 14.5928 0.0 16.3795 0.0 16.3198 0.0 15.83 0.0 17.4715 0.0
0.0428 11.1441 0.0 11.9114 0.0 11.9124 0.0 12.3251 0.0 15.3309 0.0 10.3866 0.0 12.5116 0.0 10.8417 0.0 13.1781 0.0 14.9143 0.0 11.4427 0.0 11.4301 0.0 10.835 0.0 13.623 0.0 15.0398 0.0 10.0564 0.0 12.9414 0.0 11.9173 0.0 11.8021 0.0 15.2088 0.0
0.0471 4.2174 0.0 6.4082 0.0 5.3905 0.0 7.0054 0.0 11.8291 0.0 4.422 0.0 7.312 0.0 4.8631 0.0 8.4064 0.0 11.1753 0.0 4.696 0.0 5.6247 0.0 3.6388 0.0 9.1345 0.0 11.3528 0.0 3.9255 0.0 8.0084 0.0 6.5287 0.0 6.2072 0.0 11.6407 0.0
0.0514 -2.2424 0.0 0.4107 0.0 -0.6269 0.0 0.9882 0.0 7.3899 0.0 -2.6386 0.0 1.3648 0.0 -1.656 0.0 3.1129 0.0 6.4535 0.0 -1.5786 0.0 -0.7022 0.0 -3.0775 0.0 3.9928 0.0 6.727 0.0 -3.3373 0.0 2.3127 0.0 0.678 0.0 -0.0021 0.0 7.1438 0.0
0.0557 -7.9928 0.0 -5.2412 0.0 -5.9286 0.0 -4.842 0.0 1.416 0.0 -8.5121 0.0 -4.5241 0.0 -7.5358 0.0 -1.936 0.0 0.4845 0.0 -7.1013 0.0 -6.6255 0.0 -9.0037 0.0 -1.0704 0.0 0.4028 0.0 -9.4048 0.0 -3.2716 0.0 -4.6257 0.0 -5.8784 0.0 1.4659 0.0
0.06 -12.1098 0.0 -9.7925 0.0 -9.8138 0.0 -9.7782 0.0 -3.2005 0.0 -12.3477 0.0 -9.4884 0.0 -12.0201 0.0 -6.0801 0.0 -4.5753 0.0 -11.2085 0.0 -11.2581 0.0 -13.2668 0.0 -5.2795 0.0 -4.4003 0.0 -13.2971 0.0 -7.988 0.0 -8.6683 0.0 -10.7026 0.0 -3.3482 0.0
0.0643 -14.4149 0.0 -12.5564 0.0 -11.9917 0.0 -13.3132 0.0 -5.9821 0.0 -14.2486 0.0 -13.401 0.0 -14.6088 0.0 -8.8374 0.0 -7.4591 0.0 -13.4404 0.0 -14.204 0.0 -15.0475 0.0 -8.3797 0.0 -7.3975 0.0 -14.9038 0.0 -11.7676 0.0 -11.1246 0.0 -13.8363 0.0 -6.1035 0.0
0.0686 -14.1265 0.0 -13.1838 0.0 -12.5305 0.0 -14.9524 0.0 -7.7143 0.0 -14.4406 0.0 -14.9095 0.0 -14.9126 0.0 -9.8453 0.0 -9.0565 0.0 -13.9741 0.0 -14.7415 0.0 -15.8862 0.0 -10.2846 0.0 -9.0455 0.0 -15.2623 0.0 -12.8343 0.0 -11.2789 0.0 -14.5673 0.0 -7.7041 0.0
0.0728 -13.2212 0.0 -13.2739 0.0 -11.0748 0.0 -14.5293 0.0 -8.3284 0.0 -12.6154 0.0 -13.5465 0.0 -13.9026 0.0 -10.5156 0.0 -9.4691 0.0 -12.4551 0.0 -14.7067 0.0 -14.0335 0.0 -10.0044 0.0 -9.5668 0.0 -13.2423 0.0 -12.3703 0.0 -10.875 0.0 -14.7587 0.0 -8.2648 0.0
0.0771 -11.6737 0.0 -11.2165 0.0 -10.505 0.0 -12.8313 0.0 -8.0495 0.0 -10.8359 0.0 -13.0865 0.0 -12.7332 0.0 -8.4158 0.0 -8.6438 0.0 -11.6812 0.0 -12.4643 0.0 -12.5243 0.0 -8.9259 0.0 -9.1316 0.0 -11.4573 0.0 -11.1755 0.0 -9.6493 0.0 -12.3043 0.0 -7.9371 0.0
