%eval_id interface          PUMPB          PUMPC             HR             EF          DENSI          VISCO          PUMPA            LAP           AORP            AOC           AORS         AVGFAO          MXFAO           FFAO       AVGFLVAD        MXFLVAD          AVGFM           MXFM           QRAT 
26       INTERFACE -0.00117185377    262.6924503    67.75326637   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    2.496317479      55.702545    6.919931005    134.5460865      177.08104   -137.1440583     -474.73815   0.9817843426 
27       INTERFACE -0.001112052823    248.3900759    65.19712611   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    2.400603248      50.030477    5.528782155    131.4735605      163.17471   -133.9831893     -438.47768   0.9820682111 
28       INTERFACE -0.001057218326    273.2191619    68.48228176   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    2.297520976      60.230203    7.523195986    148.3328159      189.69187   -150.7733073     -521.80494   0.9847472891 
29       INTERFACE -0.001089625448     239.411432    69.57500234   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100    5.650504256      133.04366    12.64163785    117.3121468      162.50435    -123.083469     -491.30378   0.9540469874 
30       INTERFACE -0.001054396962    287.3705272    71.78865714   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100    1.651137052      41.166058    9.939267026    151.5724475      195.91735   -153.4867162     -532.25499   0.9892240019 
31       INTERFACE -0.00107059874    219.5294135    65.76685097   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100    5.758944296      127.58656     13.2583209    109.6732315      146.77693   -115.5068765     -453.68807   0.9501097137 
32       INTERFACE -0.001140781027    286.8689193    70.62496526   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    3.792654726      107.55495    9.305676068    147.5353616       195.4355   -151.5290176     -559.51593   0.9749375243 
33       INTERFACE -0.001114712753    212.5873412    67.41448758   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    5.339226538      115.54298    11.95530905    98.12917774        132.867   -103.5035721     -410.23302   0.9483975173 
34       INTERFACE -0.001081110036    230.0931233    70.42305001   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    4.370591879      98.817035    9.859249609    107.8927437      145.65242   -112.4018297     -426.88118   0.9610683946 
35       INTERFACE -0.00105184352     270.071324    66.45906957   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100    2.095706364      51.995162    6.397846515    150.6174138       184.7173   -152.8726889     -502.63037   0.9862768414 
36       INTERFACE -0.001209650694    201.1217486    67.75326637   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    5.877158223      126.50569    13.18313102    83.72408743      125.80898   -89.66747393     -395.55843   0.9344076281 
37       INTERFACE -0.001190247328    238.5118243    65.19712611   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    4.425711205      90.813243    9.122700511    116.8413737      145.47669   -121.3401721     -415.02996   0.9635044315 
38       INTERFACE -0.001029578831    250.1527374    68.48228176   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    4.751382488       114.2016    10.59691502    131.5739927      169.44335   -136.3622474     -492.70213   0.9651467492 
39       INTERFACE -0.001157472244    275.3747379    69.57500234   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100    3.199265162      105.18015    9.076512704    139.2530336      183.74559   -142.6473536     -524.17282   0.9775414985 
40       INTERFACE -0.001101881858    256.5439828    71.78865714   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100    3.141743365      93.753509    9.181475578    124.9299246      168.54236   -128.2425664     -491.08095   0.9754688651 
41       INTERFACE -0.00107059874    207.2485546    67.88004979   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100     6.21059132      137.89077    14.19263286    96.92487705      141.48479   -103.2276513     -446.41008    0.939782197 
42       INTERFACE -0.001140781027    211.0536969    66.83937536   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    6.785308739      145.81861    15.23669438    98.25502179      145.42455   -105.1151743     -456.62565   0.9354028238 
43       INTERFACE -0.001114712753    227.3279445    68.72876523   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    4.933959604      112.16978    11.16282171    107.2372137      143.95405   -112.2231288     -430.76699   0.9560140145 
44       INTERFACE -0.001081110036    218.7994599     70.4987605   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    4.544456417      107.40761    10.36408068    99.51005795      137.38661   -104.1620838      -414.6153   0.9563261965 
45       INTERFACE -0.00105184352    261.0434631    71.53107353   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100    3.277926239      99.162364    9.369272288    131.4712891      175.47805    -134.899414     -509.95282   0.9756738751 
46       INTERFACE -0.001209650694    262.6924503    65.89959236   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    2.069456284      50.695343    6.010268012     135.840078      173.53413   -137.9851265     -464.20696   0.9849941029 
47       INTERFACE -0.001190247328    248.3900759     69.9522604   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    3.973818973      95.559157    9.305706979    116.8511669       155.4606   -120.8438834     -442.08823   0.9671109502 
48       INTERFACE -0.001029578831    273.2191619    65.28714825   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    2.007680287      51.116792    5.841724533    158.0193419      188.54731   -160.1960479     -509.80976   0.9874541171 
49       INTERFACE -0.001157472244     239.411432    67.41431549   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100     5.65751066      130.05882    13.18076499    116.5285479      157.69655   -122.2505341     -476.81298   0.9536975762 
50       INTERFACE -0.001101881858    287.3705272    69.71151044   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100   0.8456514435      45.607163    8.317904071    153.4740446       192.7989   -154.5345025     -518.95881   0.9945201328 
51       INTERFACE -0.00107059874    207.2485546    65.76685097   0.2329321623            1.1         0.0372              0          10000           1700         0.0012            100    6.176188729      133.55146    14.02260383    100.5235548      140.49764   -106.7803149     -441.48742   0.9421161802 
52       INTERFACE -0.001140781027    211.0536969    70.62496526    0.200950057            1.1         0.0372              0          10000           1700         0.0012            100    4.870916046      113.15411    10.90114276    90.81129595      131.51133   -95.76748865     -402.65488   0.9490927734 
53       INTERFACE -0.001114712753    227.3279445    67.41448758   0.2218950737            1.1         0.0372              0          10000           1700         0.0012            100    5.322927476       121.8175    12.37111181    109.6606013      147.13495   -115.0316553     -447.79783   0.9537070437 
54       INTERFACE -0.001081110036    218.7994599    70.42305001   0.2180582352            1.1         0.0372              0          10000           1700         0.0012            100    5.379081739      123.21793    11.88429141    100.7956889      145.78975   -106.3352734     -444.93339   0.9493374772 
55       INTERFACE -0.00105184352    261.0434631    66.45906957   0.2250177025            1.1         0.0372              0          10000           1700         0.0012            100    2.521986473      58.549346    7.147274878    143.4457788      182.03912   -146.1033291     -496.88668   0.9827223054 
56       INTERFACE -0.001209650694    262.6924503    67.75326637   0.2086361411            1.1         0.0372              0          10000           1700         0.0012            100    2.167094263      51.965887    6.372940669    132.1840294      174.16723   -134.4415959     -462.80879   0.9838699208 
57       INTERFACE -0.001190247328    248.3900759    65.19712611   0.2132117012            1.1         0.0372              0          10000           1700         0.0012            100    4.696590954      94.353039    9.394890418    125.0422812      155.09703   -129.8396341     -441.06077   0.9637996625 
58       INTERFACE -0.001029578831    273.2191619    68.48228176   0.2410249126            1.1         0.0372              0          10000           1700         0.0012            100    4.881572188      110.92103    10.44306849    149.4066275      189.71336    -154.403027      -543.5242     0.96836069 
59       INTERFACE -0.001157472244     239.411432    69.57500234   0.2340716465            1.1         0.0372              0          10000           1700         0.0012            100    5.757789529      134.57758    12.84388515    113.3234923      160.54212   -119.2026369     -485.80565   0.9516482403 
60       INTERFACE -0.001101881858    287.3705272    71.78865714   0.2064214329            1.1         0.0372              0          10000           1700         0.0012            100    1.051641959      39.995838    8.593163082    148.5883218      190.37893   -149.8745284     -510.56069   0.9929721852 
