#Time Ao_1 VAD_1 Ao_2 VAD_2 Ao_3 VAD_3 Ao_4 VAD_4 Ao_5 VAD_5 Ao_6 VAD_6 Ao_7 VAD_7 Ao_8 VAD_8 Ao_9 VAD_9 Ao_10 VAD_10 Ao_11 VAD_11 Ao_12 VAD_12 Ao_13 VAD_13 Ao_14 VAD_14 Ao_15 VAD_15 Ao_16 VAD_16 Ao_17 VAD_17 Ao_18 VAD_18 Ao_19 VAD_19 Ao_20 VAD_20 Ao_21 VAD_21 Ao_22 VAD_22 Ao_23 VAD_23 Ao_24 VAD_24 Ao_25 VAD_25 Ao_26 VAD_26 Ao_27 VAD_27 Ao_28 VAD_28 Ao_29 VAD_29 Ao_30 VAD_30 Ao_31 VAD_31 Ao_32 VAD_32 Ao_33 VAD_33 Ao_34 VAD_34 Ao_35 VAD_35 Ao_36 VAD_36 Ao_37 VAD_37 Ao_38 VAD_38 Ao_39 VAD_39 Ao_40 VAD_40 Ao_41 VAD_41 Ao_42 VAD_42 Ao_43 VAD_43 Ao_44 VAD_44 Ao_45 VAD_45 Ao_46 VAD_46 Ao_47 VAD_47 Ao_48 VAD_48 Ao_49 VAD_49 Ao_50 VAD_50
0.0 0.0 36.8346 0.0 37.2847 0.0 43.8526 0.0 31.897 0.0 22.1265 0.0 30.9624 0.0 27.7315 0.0 25.3577 0.0 41.7998 0.0 19.9062 0.0 25.3464 0.0 43.1541 0.0 26.37 0.0 45.4262 0.0 43.3773 0.0 27.589 0.0 24.4079 0.0 35.7562 0.0 47.5931 0.0 25.1756 0.0 22.1982 0.0 27.9814 0.0 31.9624 0.0 32.5116 0.0 35.8345 0.0 27.228 0.0 44.6997 0.0 42.1861 0.0 21.454 0.0 34.1537 0.0 17.9446 0.0 40.843 0.0 36.8205 0.0 27.34 0.0 43.3735 0.0 28.6448 0.0 32.4271 0.0 23.7161 0.0 23.9171 0.0 39.3561 0.0 37.5749 0.0 34.3042 0.0 24.3511 0.0 21.2061 0.0 45.8277 0.0 41.3581 0.0 34.6151 0.0 31.7724 0.0 41.7643 0.0 39.2445
0.0043 -9.0242 37.8626 -9.1641 38.317 -11.2488 44.8998 -7.4652 32.917 -4.3707 23.1505 -7.1755 32.0055 -6.1523 28.7789 -5.3976 26.3949 -10.5949 42.8189 -3.6699 20.9414 -5.3961 26.3903 -11.0261 44.1878 -5.7232 27.4192 -11.7382 46.4484 -11.0909 44.3939 -6.1051 28.6299 -5.0935 25.4355 -8.6617 36.7614 -12.4017 48.6115 -5.3314 26.1861 -4.3879 23.2048 -6.2334 29.035 -7.4938 33.0076 -7.6541 33.5158 -8.6983 36.8861 -5.9829 28.2426 -11.506 45.7111 -10.7263 43.2378 -4.1636 22.4959 -8.1841 35.2041 -3.0538 18.9975 -10.2861 41.8522 -9.0153 37.8332 -6.0238 28.3714 -11.0924 44.3987 -6.4344 29.666 -7.6406 33.4732 -4.8677 24.7236 -4.9406 24.9536 -9.8013 40.3868 -9.2474 38.5849 -8.2205 35.3205 -5.0777 25.3857 -4.084 22.2456 -11.8661 46.8504 -10.4518 42.3717 -8.3274 35.6704 -7.4286 32.8018 -10.5861 42.7911 -9.7664 40.2833
0.0086 -3.8477 37.2278 -4.0462 37.6635 -6.098 43.9643 -2.43 32.4824 0.3833 23.1087 -2.2279 31.5987 -1.2812 28.5042 -0.3304 26.22 -5.4694 41.9905 1.1536 20.9897 -0.4306 26.2144 -5.9096 43.2927 -0.8253 27.1998 -6.4449 45.4746 -5.9795 43.5055 -1.2245 28.363 -0.2271 25.3011 -3.5234 36.1903 -7.1774 47.5634 -0.4395 26.0244 0.5049 23.1615 -1.1709 28.748 -2.498 32.5585 -2.5723 33.0645 -3.7273 36.2842 -1.0701 27.9977 -6.1709 44.7758 -5.5464 42.3668 0.7643 22.4803 -3.1308 34.6643 1.8943 19.1276 -5.1743 41.0705 -3.8522 37.2089 -1.1204 28.1172 -5.7132 43.5026 -1.5464 29.3621 -2.6208 33.005 -0.1107 24.6203 -0.0422 24.8379 -4.7603 39.6579 -3.9921 37.935 -3.1227 34.7937 -0.1412 25.2528 0.7725 22.2405 -6.6476 45.86 -5.2541 41.5667 -3.2139 35.1109 -2.4345 32.3679 -5.4878 41.9576 -4.5203 39.5534
0.0129 -0.6086 37.9779 -0.7024 38.4197 -2.1799 44.7097 0.4456 33.238 2.5535 23.8776 0.7111 32.3666 1.3535 29.2829 1.7906 27.0107 -1.6899 42.7216 3.0266 21.7785 1.7882 26.9999 -2.0476 44.0275 1.583 27.9857 -2.5978 46.2012 -2.0578 44.2289 1.4203 29.138 2.0365 26.0731 -0.3722 36.9315 -2.9962 48.2787 1.831 26.784 2.5829 23.924 1.2242 29.5458 0.4173 33.3327 0.2967 33.8101 -0.4071 37.0486 1.3856 28.7571 -2.3958 45.4992 -1.7783 43.1234 2.6762 23.2761 0.0264 35.429 3.4238 19.9526 -1.4507 41.802 -0.6062 37.947 1.4455 28.8868 -2.0072 44.2385 1.185 30.1203 0.4032 33.7767 2.1773 25.3753 2.1526 25.6193 -1.1437 40.3971 -0.7632 38.6687 -0.0566 35.5363 1.9971 26.036 2.6805 23.0293 -2.6457 46.5812 -1.6072 42.3059 -0.1663 35.8886 0.506 33.1308 -1.7123 42.6933 -1.1249 40.3083
0.0171 1.8895 38.6621 1.6862 39.0982 0.7307 45.3824 2.6441 33.9261 4.4305 24.6072 2.9361 33.0823 3.4507 30.009 3.6117 27.7217 1.1506 43.3884 4.6975 22.5218 3.7173 27.7227 0.9453 44.6964 3.538 28.712 0.4156 46.8471 0.8146 44.8857 3.5115 29.8617 3.9706 26.7951 1.9225 37.5948 0.1559 48.922 3.7902 27.4875 4.3659 24.6412 3.1819 30.2605 2.623 34.0398 2.4837 34.4819 2.0459 37.7493 3.4391 29.4537 0.5845 46.1464 0.9697 43.8014 4.3512 24.0104 2.3469 36.1355 4.9047 20.703 1.1365 42.4562 1.8743 38.6198 3.475 29.6055 0.7742 44.8981 3.3003 30.8239 2.6241 34.4882 4.1187 26.0871 4.0093 26.3466 1.513 41.0738 1.7533 39.3352 2.2693 36.2145 3.8509 26.7539 4.4088 23.763 0.4465 47.233 0.9593 42.9557 2.1646 36.5899 2.6772 33.8302 1.0984 43.3611 1.4143 40.9883
0.0214 3.9799 39.3353 3.9184 39.7686 2.9743 46.0695 4.7509 34.5915 6.3236 25.2911 4.9116 33.773 5.4887 30.7021 5.6385 28.3877 3.2554 44.0582 6.5135 23.2051 5.7511 28.4051 3.0581 45.3751 5.647 29.4028 2.684 47.5114 3.0596 45.5553 5.4541 30.5499 5.9483 27.4742 4.1175 38.2451 2.4194 49.5847 5.8312 28.1513 6.2097 25.3062 5.2465 30.9371 4.764 34.7242 4.6267 35.1335 4.2032 38.4425 5.5298 30.1174 2.7735 46.8056 3.1888 44.4871 6.2329 24.6894 4.4815 36.8278 6.6749 21.3846 3.3384 43.1128 4.0059 39.2824 5.5048 30.2882 2.9518 45.5652 5.3482 31.4975 4.6819 35.177 6.037 26.7583 5.9911 27.0282 3.6501 41.752 3.9089 39.9941 4.4304 36.8806 5.8694 27.4278 6.3726 24.4459 2.6508 47.8978 3.1574 43.6064 4.2672 37.275 4.742 34.5062 3.2826 44.0351 3.5911 41.6636
0.0257 6.1187 40.0027 6.0133 40.44 4.9462 46.7649 7.009 35.2442 8.467 25.9331 7.0784 34.4388 7.5926 31.3669 7.8369 29.0349 5.3547 44.7255 8.6123 23.8466 7.951 29.0626 5.103 46.0541 7.7981 30.0688 4.6549 48.19 5.0481 46.2297 7.5839 31.207 8.126 28.1201 6.3117 38.8936 4.2934 50.2544 8.0212 28.7884 8.3648 25.9321 7.4653 31.5989 6.9614 35.3939 6.9023 35.7771 6.4161 39.1288 7.6842 30.7616 4.732 47.476 5.2009 45.1817 8.4408 25.335 6.6271 37.502 8.7767 22.028 5.4326 43.7762 6.185 39.9397 7.6365 30.9409 4.973 46.2416 7.4591 32.1463 6.8527 35.8471 8.2871 27.3952 8.1848 27.6784 5.8189 42.4249 6.0224 40.6488 6.6589 37.5382 8.1015 28.0769 8.5648 25.0963 4.5482 48.5667 5.2519 44.267 6.5118 37.9539 7.0216 35.1663 5.3885 44.7115 5.709 42.3411
0.03 8.2447 40.6547 7.9179 41.0992 6.7525 47.4558 8.989 35.882 10.7106 26.5448 9.2975 35.0837 9.7551 32.0097 9.7119 29.6675 7.2687 45.3843 10.8643 24.4583 9.9327 29.7002 7.0015 46.7297 9.8423 30.7117 6.2302 48.8716 7.0089 46.8964 9.7381 31.843 10.3775 28.7403 8.1803 39.5316 6.0474 50.9328 10.0814 29.4039 10.6411 26.5307 9.3548 32.2474 9.0616 36.0454 8.8168 36.4078 8.4707 39.7957 9.6244 31.3883 6.5771 48.1421 6.9436 45.8703 10.5623 25.9566 8.7688 38.1607 10.8578 22.647 7.254 44.4324 8.1853 40.5837 9.8148 31.5707 6.7795 46.9133 9.6378 32.7759 9.0771 36.4971 10.5627 28.0022 10.3666 28.3036 7.8219 43.0877 8.041 41.2931 8.5903 38.1812 10.0995 28.7055 10.6274 25.7201 6.4081 49.2427 6.9357 44.9286 8.4207 38.6216 9.1109 35.8068 7.2684 45.38 7.643 43.0087
0.0343 9.5762 41.2802 9.0678 41.7175 8.0389 48.1121 10.2305 36.4772 12.4233 27.1242 10.9288 35.7027 11.333 32.6219 10.5448 30.2426 8.6695 46.0222 12.5023 25.0369 11.1717 30.2875 8.3779 47.3834 11.3111 31.3105 7.1022 49.5081 8.3082 47.5396 11.4013 32.4502 11.9605 29.3295 9.17 40.1252 7.3023 51.5928 11.5469 29.9762 12.3107 27.0998 10.1657 32.84 10.5292 36.6613 9.7505 36.9901 9.878 40.4278 10.7896 31.9638 7.8097 48.7836 8.0872 46.5183 12.0809 26.5339 10.2829 38.7937 12.3207 23.2182 8.423 45.0508 9.6193 41.1966 11.4114 32.1713 8.0842 47.5578 11.1832 33.3751 10.5527 37.1218 12.1985 28.5776 11.974 28.8912 9.1835 43.7256 9.4616 41.9064 9.8071 38.7821 11.2545 29.2815 11.9591 26.2924 7.7432 49.9 7.6802 45.5426 9.4707 39.2413 10.578 36.4166 8.616 46.0209 8.9265 43.6426
0.0386 9.4382 41.828 8.8235 42.2513 8.1206 48.6903 10.1217 36.992 13.1891 27.6302 11.5262 36.2465 11.6298 33.1526 9.4113 30.7103 9.1014 46.5845 12.7176 25.5341 10.8826 30.7862 8.7272 47.9581 11.3757 31.8287 6.7536 50.0497 8.4322 48.1045 11.864 32.9794 12.1052 29.8386 8.5979 40.63 7.6052 52.1714 11.6113 30.4702 12.6524 27.5925 9.1167 33.3275 10.1612 37.2033 8.9582 37.4818 9.8462 40.9875 10.4299 32.4504 7.5967 49.344 8.0198 47.08 11.7763 27.0312 10.7359 39.3503 11.9323 23.7047 8.367 45.5869 9.3169 41.7379 11.8076 32.6931 7.7665 48.1227 11.2606 33.8943 10.7682 37.6678 12.4949 29.0769 11.7069 29.4029 9.4042 44.2856 9.0803 42.4481 9.7532 39.3041 10.7445 29.7668 11.8056 26.7792 8.1454 50.4786 6.8271 46.0552 9.0436 39.7724 10.4157 36.9476 8.573 46.586 8.5667 44.1993
