%eval_id interface          PUMPB          PUMPC             HR             EF          DENSI          VISCO          PUMPA           AORP            AOC           AORS            LAP          MXFAO           FFAO       AVGFLVAD        MXFLVAD          AVGFM           MXFM 
1        INTERFACE -0.001107325591    255.9757297    60.47003008   0.1797782662            1.1         0.0372              0           1700         0.0012            100          10000      16.399103    3.469855291    148.7149116      154.75985    -150.891036     -389.71094 
2        INTERFACE -0.001123342462    258.8554144    62.64504173    0.177041611            1.1         0.0372              0           1700         0.0012            100          10000      21.193149    3.323156554     144.987753      156.39572   -146.9006922     -394.81951 
3        INTERFACE -0.001178879393    284.9322162    61.75734228   0.1559564808            1.1         0.0372              0           1700         0.0012            100          10000      13.441982    2.176441794    167.0928621      174.56756   -169.0723552     -378.31256 
4        INTERFACE -0.001077985805    237.4820756    62.49383172    0.168251102            1.1         0.0372              0           1700         0.0012            100          10000      27.054304     3.84328336    130.0573718      141.22973   -132.0239591     -363.58334 
5        INTERFACE -0.001092838814    207.4114661    58.12236664   0.1589336786            1.1         0.0372              0           1700         0.0012            100          10000         35.038    4.544824322    111.1346367       116.3598   -113.9707945     -304.98132 
6        INTERFACE -0.001163448486    242.1258235    58.25241873   0.1699760912            1.1         0.0372              0           1700         0.0012            100          10000      22.301158    3.927085288     137.425542      139.01558    -139.674818     -349.33261 
7        INTERFACE -0.001179443665    233.1740583    59.65655717   0.1630306408            1.1         0.0372              0           1700         0.0012            100          10000      29.913449    4.253848855    125.2189888       131.0901   -127.5400641     -334.39013 
8        INTERFACE -0.001141486241    222.1487914     64.1735955   0.1842819518            1.1         0.0372              0           1700         0.0012            100          10000      74.096572    7.601900728    108.9419418      130.72665   -112.9354191     -369.08912 
9        INTERFACE -0.001074654731    269.0087889     58.4473537   0.1813987856            1.1         0.0372              0           1700         0.0012            100          10000      14.221922    2.572064341    168.9633722      167.87268   -171.2439182     -398.91752 
10       INTERFACE -0.001134187092    203.9759247    59.29121235   0.1764259402            1.1         0.0372              0           1700         0.0012            100          10000      68.161662       7.353174    102.4123371      113.42305   -106.4346958     -324.80297 
11       INTERFACE -0.001166465062    224.3475022    63.11839571   0.1615840971            1.1         0.0372              0           1700         0.0012            100          10000      39.404851    4.315607061    111.3622492      125.85681    -113.624583     -335.34583 
12       INTERFACE -0.001128583295    278.1870324    59.53335445   0.1604006481            1.1         0.0372              0           1700         0.0012            100          10000      12.646464    2.269046837    171.2769942      172.02228     -173.30991     -375.88118 
13       INTERFACE -0.00118592509    229.3786112     62.1115157   0.1592058941            1.1         0.0372              0           1700         0.0012            100          10000      34.212607     4.14834491    116.4126281      127.29811   -118.4995347     -332.50242 
14       INTERFACE -0.001086165896    281.6931666    63.83986321   0.1581937288            1.1         0.0372              0           1700         0.0012            100          10000      14.954724    2.179090422    164.8007284      178.37547   -166.7717956      -393.3783 
15       INTERFACE -0.001065072532    273.2212152    60.22929163   0.1622804696            1.1         0.0372              0           1700         0.0012            100          10000      14.031589    2.327096632     169.250457      172.12986   -171.3512344     -381.29253 
16       INTERFACE -0.001155199958     230.546734    58.59864045   0.1724627531            1.1         0.0372              0           1700         0.0012            100          10000      37.139243    4.298217708    126.7620535      131.97347    -129.350756     -342.86935 
17       INTERFACE -0.001105983015    215.9195501    59.84873023   0.1677918961            1.1         0.0372              0           1700         0.0012            100          10000      47.568901    5.052787714    114.1161363      122.15512   -116.7003056     -330.49241 
